,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
0,5.1,3.5,1.4,0.2,setosa,-24.546103,0.38595676
1,4.9,3.0,1.4,0.2,setosa,-21.995268,1.238001
2,4.7,3.2,1.3,0.2,setosa,-21.829699,0.071281284
3,4.6,3.1,1.5,0.2,setosa,-21.510372,0.3355176
4,5.0,3.6,1.4,0.2,setosa,-24.538082,-0.13510704
5,5.4,3.9,1.7,0.4,setosa,-26.485235,-0.08924459
6,4.6,3.4,1.4,0.3,setosa,-22.08968,-0.53556687
7,5.0,3.4,1.5,0.2,setosa,-23.75279,0.3959952
8,4.4,2.9,1.4,0.2,setosa,-20.751112,0.45461354
9,4.9,3.1,1.5,0.1,setosa,-22.385925,0.94973856
10,5.4,3.7,1.5,0.2,setosa,-26.017014,0.5978521
11,4.8,3.4,1.6,0.2,setosa,-23.030952,-0.12795238
12,4.8,3.0,1.4,0.1,setosa,-21.653131,0.99133265
13,4.3,3.0,1.1,0.1,setosa,-20.534903,-0.113310955
14,5.8,4.0,1.2,0.2,setosa,-27.330978,0.64682597
15,5.7,4.4,1.5,0.4,setosa,-27.513268,0.08783712
16,5.4,3.9,1.3,0.4,setosa,-26.617678,0.31268206
17,5.1,3.5,1.4,0.3,setosa,-24.589533,0.33345166
18,5.7,3.8,1.7,0.3,setosa,-26.800026,0.84981287
19,5.1,3.8,1.5,0.3,setosa,-25.585173,-0.26570222
20,5.4,3.4,1.7,0.2,setosa,-25.332739,1.4022609
21,5.1,3.7,1.5,0.4,setosa,-25.259317,-0.21257156
22,4.6,3.6,1.0,0.2,setosa,-22.03743,-1.348561
23,5.1,3.3,1.7,0.5,setosa,-24.056334,1.4075547
24,4.8,3.4,1.9,0.2,setosa,-23.099707,-0.70799375
25,5.0,3.0,1.6,0.2,setosa,-22.389952,1.4855949
26,5.0,3.4,1.6,0.4,setosa,-23.863003,0.3417604
27,5.2,3.5,1.5,0.2,setosa,-24.950909,0.63601065
28,5.2,3.4,1.4,0.2,setosa,-24.57236,0.9220562
29,4.7,3.2,1.6,0.2,setosa,-22.257633,0.13343912
30,4.8,3.1,1.6,0.2,setosa,-22.226992,0.5967107
31,5.4,3.4,1.5,0.4,setosa,-25.302788,1.2767065
32,5.2,4.1,1.5,0.1,setosa,-26.664497,-0.4839079
33,5.5,4.2,1.4,0.2,setosa,-27.19576,0.01344854
34,4.9,3.1,1.5,0.2,setosa,-22.448206,0.88447493
35,5.0,3.2,1.2,0.2,setosa,-23.0195,1.2272292
36,5.5,3.5,1.3,0.2,setosa,-25.897718,1.2434335
37,4.9,3.6,1.4,0.1,setosa,-24.01864,-0.42922854
38,4.4,3.0,1.3,0.2,setosa,-20.823183,0.1455155
39,5.1,3.4,1.5,0.2,setosa,-24.162731,0.71084607
40,5.0,3.5,1.3,0.3,setosa,-24.156412,0.0024270157
41,4.5,2.3,1.3,0.3,setosa,-20.368988,1.1365209
42,4.4,3.2,1.3,0.2,setosa,-21.121126,-0.35975456
43,5.0,3.5,1.6,0.6,setosa,-24.54732,-0.7751184
44,5.1,3.8,1.9,0.4,setosa,-25.809258,-0.9669073
45,4.8,3.0,1.4,0.3,setosa,-21.67087,0.9797988
46,5.1,3.8,1.6,0.2,setosa,-25.664701,-0.34994277
47,4.6,3.2,1.4,0.2,setosa,-21.649466,-0.05170562
48,5.3,3.7,1.5,0.2,setosa,-25.764072,0.38949487
49,5.0,3.3,1.4,0.2,setosa,-23.386635,0.69709116
50,7.0,3.2,4.7,1.4,versicolor,11.394113,1.3132449
51,6.4,3.2,4.5,1.5,versicolor,9.728067,0.8602626
52,6.9,3.1,4.9,1.5,versicolor,11.681542,0.8571422
53,5.5,2.3,4.0,1.3,versicolor,4.675506,1.9834965
54,6.5,2.8,4.6,1.5,versicolor,10.239589,0.65480995
55,5.7,2.8,4.5,1.3,versicolor,6.944683,1.6873739
56,6.3,3.3,4.7,1.6,versicolor,9.754598,0.12570822
57,4.9,2.4,3.3,1.0,versicolor,3.1583529,2.3443828
58,6.6,2.9,4.6,1.3,versicolor,10.373435,1.1157513
59,5.2,2.7,3.9,1.4,versicolor,4.895952,2.7066865
60,5.0,2.0,3.5,1.0,versicolor,3.333397,2.4477353
61,5.9,3.0,4.2,1.5,versicolor,7.065151,1.1320881
62,6.0,2.2,4.0,1.0,versicolor,4.6601043,0.5874211
63,6.1,2.9,4.7,1.4,versicolor,8.839646,0.28852955
64,5.6,2.9,3.6,1.3,versicolor,4.5747595,2.391821
65,6.7,3.1,4.4,1.4,versicolor,10.400117,1.4731073
66,5.6,3.0,4.5,1.5,versicolor,7.1701007,1.9367805
67,5.8,2.7,4.1,1.0,versicolor,5.430682,1.1115992
68,6.2,2.2,4.5,1.5,versicolor,7.4189615,-1.0058792
69,5.6,2.5,3.9,1.1,versicolor,4.6629033,1.5453627
70,5.9,3.2,4.8,1.8,versicolor,9.351996,-1.1778295
